,words,mean,qw_25%,qw_50%,qw_75%,max,median,date,place
0,большой экстрим,0.07216878364870322,0.0,0.0,0.07216878364870322,0.28867513459481287,0.0,0-02-23,chicago_360
4,главный страх,0.0944911182523068,0.0,0.0,0.0944911182523068,0.3779644730092272,0.0,0-02-23,chicago_360
12,наклонный окно,0.07216878364870322,0.0,0.0,0.07216878364870322,0.28867513459481287,0.0,0-02-23,chicago_360
14,неплохо понравиться,0.0944911182523068,0.0,0.0,0.0944911182523068,0.3779644730092272,0.0,0-02-23,chicago_360
23,понравиться ещё,0.0944911182523068,0.0,0.0,0.0944911182523068,0.3779644730092272,0.0,0-02-23,chicago_360
30,сверху впечатлять,0.08333333333333333,0.0,0.0,0.08333333333333333,0.3333333333333333,0.0,0-02-23,chicago_360
33,слишком разрекламировать,0.08333333333333333,0.0,0.0,0.08333333333333333,0.3333333333333333,0.0,0-02-23,chicago_360
37,стекло большой,0.07216878364870322,0.0,0.0,0.07216878364870322,0.28867513459481287,0.0,0-02-23,chicago_360
50,захватывать красиво,0.7510801920686063,0.7510801920686063,0.7510801920686063,0.7510801920686063,0.7510801920686063,0.7510801920686063,0-03-23,chicago_360
133,боязнь противный,0.2372049168802611,0.2372049168802611,0.2372049168802611,0.2372049168802611,0.2372049168802611,0.2372049168802611,1-01-23,chicago_360
137,единственный причина,0.2372049168802611,0.2372049168802611,0.2372049168802611,0.2372049168802611,0.2372049168802611,0.2372049168802611,1-01-23,chicago_360
159,приехать сюда,0.20850675272777938,0.20850675272777938,0.20850675272777938,0.20850675272777938,0.20850675272777938,0.20850675272777938,1-01-23,chicago_360
161,противный случай,0.2372049168802611,0.2372049168802611,0.2372049168802611,0.2372049168802611,0.2372049168802611,0.2372049168802611,1-01-23,chicago_360
167,случай панорамный,0.2372049168802611,0.2372049168802611,0.2372049168802611,0.2372049168802611,0.2372049168802611,0.2372049168802611,1-01-23,chicago_360
178,быстро поднять,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,1-02-17,chicago_360
179,вдалеке приехать,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,1-02-17,chicago_360
183,знать ещё,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,1-02-17,chicago_360
187,лифт смотровой,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,1-02-17,chicago_360
189,некоторый время,0.21211076504807028,0.21211076504807028,0.21211076504807028,0.21211076504807028,0.21211076504807028,0.21211076504807028,1-02-17,chicago_360
195,площадка довольный,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,1-02-17,chicago_360
197,площадка некоторый,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,1-02-17,chicago_360
198,поворотный палуба,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,1-02-17,chicago_360
201,поэтому знать,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,1-02-17,chicago_360
203,приехать сюда,0.18644860916227654,0.18644860916227654,0.18644860916227654,0.18644860916227654,0.18644860916227654,0.18644860916227654,1-02-17,chicago_360
212,смотровой площадка,0.5593458274868297,0.5593458274868297,0.5593458274868297,0.5593458274868297,0.5593458274868297,0.5593458274868297,1-02-17,chicago_360
215,сюда остаться,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,1-02-17,chicago_360
217,туда приехать,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,0.10605538252403514,1-02-17,chicago_360
273,интересно посмотреть,0.17677669529663687,0.08838834764831843,0.17677669529663687,0.2651650429449553,0.35355339059327373,0.17677669529663687,8-02-23,chicago_360
279,ночь хороший,0.12500000000000003,0.06250000000000001,0.12500000000000003,0.18750000000000006,0.25000000000000006,0.12500000000000003,8-02-23,chicago_360
280,особенность сдвижной,0.17677669529663687,0.08838834764831843,0.17677669529663687,0.2651650429449553,0.35355339059327373,0.17677669529663687,8-02-23,chicago_360
